City,Month,Year,CPI
KOTA PROBOLINGGO,agustus,2008,115.44
KOTA MADIUN,agustus,2008,110.31
KOTA SURABAYA,agustus,2008,110.31
KOTA TANGERANG,agustus,2008,113.76
KOTA CILEGON,agustus,2008,113.16
KOTA SERANG,agustus,2008,113.53
SINGARAJA,agustus,2008,0.0
KOTA DENPASAR,agustus,2008,109.88
KOTA MATARAM,agustus,2008,113.78
KOTA BIMA,agustus,2008,116.01
MAUMERE,agustus,2008,120.46
KOTA KUPANG,agustus,2008,110.77
KOTA PONTIANAK,agustus,2008,113.01
KOTA SINGKAWANG,agustus,2008,115.57
SAMPIT,agustus,2008,111.54
KOTA PALANGKA RAYA,agustus,2008,112.95
TANJUNG,agustus,2008,0.0
KOTA BANJARMASIN,agustus,2008,111.51
KOTA BALIKPAPAN,agustus,2008,113.49
KOTA SAMARINDA,agustus,2008,115.57
KOTA TARAKAN,agustus,2008,118.24
KOTA MANADO,agustus,2008,114.98
KOTA PALU,agustus,2008,113.77
BULUKUMBA,agustus,2008,0.0
WATAMPONE,agustus,2008,118.75
KOTA MAKASSAR,agustus,2008,111.88
KOTA PARE-PARE,agustus,2008,109.16
KOTA PALOPO,agustus,2008,120.28
KOTA KENDARI,agustus,2008,114.79
KOTA BAU-BAU,agustus,2008,0.0
KOTA GORONTALO,agustus,2008,112.81
MAMUJU,agustus,2008,117.56
KOTA AMBON,agustus,2008,115.33
KOTA TUAL,agustus,2008,0.0
KOTA TERNATE,agustus,2008,115.18
MANOKWARI,agustus,2008,119.55
KOTA SORONG,agustus,2008,131.5
MERAUKE,agustus,2008,0.0
KOTA JAYAPURA,agustus,2008,112.97
KOTA MEULABOH,september,2008,0.0
KOTA BANDA ACEH,september,2008,112.04
KOTA LHOKSEUMAWE,september,2008,111.95
KOTA SIBOLGA,september,2008,113.04
KOTA PEMATANG SIANTAR,september,2008,111.62
KOTA MEDAN,september,2008,111.25
KOTA PADANGSIDIMPUAN,september,2008,113.77
KOTA PADANG,september,2008,113.68
KOTA BUKITTINGGI,september,2008,0.0
TEMBILAHAN,september,2008,0.0
KOTA PEKANBARU,september,2008,118.98
KOTA DUMAI,september,2008,116.8
BUNGO,september,2008,0.0
KOTA JAMBI,september,2008,114.9
KOTA PALEMBANG,september,2008,116.26
KOTA LUBUKLINGGAU,september,2008,0.0
KOTA BENGKULU,september,2008,116.24
