City,Month,Year,Inflation
KOTA BANDA ACEH,september,2008,1.67
KOTA LHOKSEUMAWE,september,2008,1.29
KOTA SIBOLGA,september,2008,1.68
KOTA PEMATANG SIANTAR,september,2008,0.12
KOTA MEDAN,september,2008,0.21
KOTA PADANGSIDIMPUAN,september,2008,0.18
KOTA PADANG,september,2008,0.37
KOTA BUKITTINGGI,september,2008,0.0
TEMBILAHAN,september,2008,0.0
KOTA PEKANBARU,september,2008,0.61
KOTA DUMAI,september,2008,1.15
BUNGO,september,2008,0.0
KOTA JAMBI,september,2008,0.22
KOTA PALEMBANG,september,2008,1.05
